x,i
8.527,0.093 
8.600,0.097 
8.702,0.124 
8.801,0.148 
8.905,0.243
8.997,0.307 
9.098,0.409 
9.195,0.461 
9.303,0.445 
9.406,0.380
9.503,0.286 
9.600,0.196 
9.701,0.157 
9.804,0.253
9.907,0.551 
10.003,1.107 
10.099,1.927 
10.202,3.327 
10.301,4.833 
10.400,6.178 
10.503,7.489 
10.600,8.357 
10.701,8.544 
10.803,8.329 
10.907,7.729 
11.001,7.035 
11.102,6.154 
11.200,5.307
11.297,4.442 
11.411,3.443 
11.502,2.799 
11.603,1.874 
11.708,1.124 
11.800,0.622
11.902,0.318 
12.003,0.212 
12.101,0.242 
12.207,0.328 
12.300,0.396 
12.403,0.444 
12.501,0.453 
12.602,0.418
12.703,0.343 
12.804,0.241 
12.900,0.158 
13.003,0.119 
13.104,0.095 
13.202,0.106 
13.304,0.135 
13.407,0.151 
