f(Hz),U(v)
257.131,0.149
257.231,0.155
257.431,0.169
257.631,0.189
257.831,0.203
258.031,0.227
258.231,0.255
258.431,0.292
258.631,0.339
258.731,0.367
258.831,0.405
258.931,0.447
259.031,0.499
259.131,0.560
259.231,0.640
259.331,0.743
259.431,0.874
259.531,1.039
259.571,1.120
259.621,1.222
259.661,1.301
259.711,1.373
259.731,1.423
259.751,1.449
259.801,1.489
259.831,1.494
259.871,1.477
259.940,1.395
259.972,1.345
260.002,1.290
260.062,1.180
260.102,1.102
260.192,0.951
260.282,0.825
260.352,0.744
260.412,0.682
260.532,0.584
260.762,0.455
260.933,0.390
261.203,0.317
261.903,0.214
262.214,0.187
262.524,0.166
262.694,0.157
262.834,0.150
